epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.3215,1.50512,2.91635,1.32144,0.00337,0.95652,0.17191,0.09548,1.34553,3.61824,1.2457,0.000651515,0.000651515,0.000651515
2,155.736,1.54888,2.09933,1.32785,0.35366,0.5472,0.31653,0.14251,1.38637,2.88654,1.31489,0.00125293,0.00125293,0.00125293
3,231.92,1.54752,1.88664,1.32335,0.87495,0.57609,0.72491,0.39259,1.48793,2.55365,1.35721,0.00178835,0.00178835,0.00178835
4,309.985,1.55778,1.74466,1.33798,0.69994,0.71739,0.70942,0.34375,1.57231,2.11096,1.36545,0.001703,0.001703,0.001703
5,387.825,1.56601,1.73451,1.34927,0.66853,0.72826,0.69412,0.38823,1.40605,1.94577,1.28248,0.001604,0.001604,0.001604
6,467.466,1.48275,1.451,1.29256,0.85917,0.79575,0.85352,0.48139,1.39483,1.53393,1.34834,0.001505,0.001505,0.001505
7,547.233,1.50808,1.42059,1.32047,0.81397,0.82609,0.84226,0.48769,1.34194,1.48863,1.29439,0.001406,0.001406,0.001406
8,625.368,1.47584,1.38421,1.31855,0.89877,0.80435,0.90044,0.54521,1.29973,1.16679,1.22763,0.001307,0.001307,0.001307
9,701.657,1.44338,1.27967,1.28987,0.84706,0.84282,0.88728,0.53525,1.34143,1.36172,1.23742,0.001208,0.001208,0.001208
10,777.377,1.3809,1.17025,1.22353,0.88091,0.88442,0.93767,0.56298,1.28212,1.16133,1.18252,0.001109,0.001109,0.001109
11,852.92,1.42632,1.36312,1.27386,0.88489,0.83559,0.88792,0.53678,1.34185,1.19086,1.19772,0.00101,0.00101,0.00101
12,928.092,1.40311,1.26878,1.25426,0.84512,0.8587,0.90824,0.54557,1.2415,1.14719,1.20264,0.000911,0.000911,0.000911
13,1003.13,1.35151,1.19287,1.27324,0.89495,0.83696,0.90732,0.55604,1.25378,1.10465,1.19245,0.000812,0.000812,0.000812
14,1077.66,1.37999,1.09597,1.25471,0.85207,0.87655,0.92321,0.5845,1.23914,0.98615,1.16834,0.000713,0.000713,0.000713
15,1151.67,1.32855,1.07531,1.24946,0.87393,0.90417,0.93844,0.5733,1.2556,0.99445,1.18528,0.000614,0.000614,0.000614
16,1226.08,1.30034,1.01453,1.20122,0.9238,0.92246,0.95286,0.59018,1.22172,0.93233,1.18791,0.000515,0.000515,0.000515
17,1303.89,1.27922,0.96298,1.20889,0.91418,0.92628,0.96063,0.57589,1.23595,0.92206,1.17869,0.000416,0.000416,0.000416
18,1382.01,1.23367,0.94482,1.17989,0.9697,0.86957,0.96859,0.59479,1.19108,0.85607,1.14953,0.000317,0.000317,0.000317
19,1459.3,1.20648,0.92526,1.18038,0.90987,0.94565,0.96751,0.61304,1.18034,0.84789,1.14429,0.000218,0.000218,0.000218
20,1535.73,1.2059,0.92041,1.18557,0.91499,0.9359,0.96398,0.60166,1.1676,0.86421,1.13652,0.000119,0.000119,0.000119
